Mortalidade Geral em investigação
Óbitos Residentes MSP por Subpref/Dist Adm residência e Ano do Óbito
Causa(Cap CID10): IV.  Doenças endócrinas nutricionais e metabólicas
Período:2023
"Subpref/Dist Adm residência";"2023";"Total"
"** Aricanduva/Formosa/Carrão";92;92
"Aricanduva";27;27
"Carrão";36;36
"Vila Formosa";29;29
"** Butantã";104;104
"Butantã";22;22
"Morumbi";11;11
"Raposo Tavares";22;22
"Rio Pequeno";29;29
"Vila Sônia";20;20
"** Campo Limpo";117;117
"Campo Limpo";43;43
"Capão Redondo";55;55
"Vila Andrade";19;19
"** Capela do Socorro";134;134
"Cidade Dutra";44;44
"Grajaú";74;74
"Socorro";16;16
"** Casa Verde/Cachoeirinha";117;117
"Cachoeirinha";55;55
"Casa Verde";32;32
"Limão";30;30
"** Cidade Ademar";111;111
"Cidade Ademar";83;83
"Pedreira";28;28
"** Cidade Tiradentes";54;54
"Cidade Tiradentes";54;54
"** Ermelino Matarazzo";63;63
"Ermelino Matarazzo";34;34
"Ponte Rasa";29;29
"** Freguesia/Brasilândia";134;134
"Brasilândia";88;88
"Freguesia do Ó";46;46
"** Guaianases";86;86
"Guaianases";38;38
"Lajeado";48;48
"** Ipiranga";122;122
"Cursino";31;31
"Ipiranga";35;35
"Sacomã";56;56
"** Itaim Paulista";107;107
"Itaim Paulista";60;60
"Vila Curuçá";47;47
"** Itaquera";149;149
"Cidade Líder";29;29
"Itaquera";77;77
"José Bonifácio";27;27
"Parque do Carmo";16;16
"** Jabaquara";51;51
"Jabaquara";51;51
"** Jaçanã/Tremembé";72;72
"Jaçanã";16;16
"Tremembé";56;56
"** Lapa";86;86
"Barra Funda";8;8
"Jaguara";9;9
"Jaguaré";6;6
"Lapa";23;23
"Perdizes";29;29
"Vila Leopoldina";11;11
"** M'Boi Mirim";124;124
"Jardim Ângela";62;62
"Jardim São Luís";62;62
"** Moóca";136;136
"Água Rasa";46;46
"Belém";9;9
"Brás";5;5
"Moóca";34;34
"Pari";6;6
"Tatuapé";36;36
"** Parelheiros";47;47
"Marsilac";1;1
"Parelheiros";46;46
"** Penha";137;137
"Artur Alvim";30;30
"Cangaíba";39;39
"Penha";36;36
"Vila Matilde";32;32
"** Perus";33;33
"Anhangüera";12;12
"Perus";21;21
"** Pinheiros";63;63
"Alto de Pinheiros";9;9
"Itaim Bibi";16;16
"Jardim Paulista";18;18
"Pinheiros";20;20
"** Pirituba";164;164
"Jaraguá";58;58
"Pirituba";70;70
"São Domingos";36;36
"** Santana/Tucuruvi";129;129
"Mandaqui";44;44
"Santana";50;50
"Tucuruvi";35;35
"** Santo Amaro";93;93
"Campo Belo";28;28
"Campo Grande";33;33
"Santo Amaro";32;32
"** São Mateus";115;115
"Iguatemi";32;32
"São Mateus";60;60
"São Rafael";23;23
"** São Miguel";98;98
"Jardim Helena";34;34
"São Miguel";37;37
"Vila Jacuí";27;27
"** Sapopemba";82;82
"Sapopemba";82;82
"** Sé";111;111
"Bela Vista";18;18
"Bom Retiro";7;7
"Cambuci";10;10
"Consolação";10;10
"Liberdade";27;27
"República";16;16
"Santa Cecília";20;20
"Sé";3;3
"** Vila Maria/Vila Guilherme";87;87
"Vila Guilherme";14;14
"Vila Maria";30;30
"Vila Medeiros";43;43
"** Vila Mariana";64;64
"Moema";12;12
"Saúde";25;25
"Vila Mariana";27;27
"** Vila Prudente";80;80
"São Lucas";57;57
"Vila Prudente";23;23
"** Ignorado";29;29
"Total";3191;3191
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 07/11/2025.
