Ano,Subprefeitura,Dist_Adm,Populacao
2000,Moóca,Água Rasa,85992
2001,Moóca,Água Rasa,86000
2002,Moóca,Água Rasa,85916
2003,Moóca,Água Rasa,85775
2004,Moóca,Água Rasa,85682
2005,Moóca,Água Rasa,85593
2006,Moóca,Água Rasa,85473
2007,Moóca,Água Rasa,85332
2008,Moóca,Água Rasa,85189
2009,Moóca,Água Rasa,85053
2010,Moóca,Água Rasa,84971
2011,Moóca,Água Rasa,85181
2012,Moóca,Água Rasa,85429
2013,Moóca,Água Rasa,85745
2014,Moóca,Água Rasa,86074
2015,Moóca,Água Rasa,86402
2016,Moóca,Água Rasa,86645
2017,Moóca,Água Rasa,86841
2018,Moóca,Água Rasa,87001
2019,Moóca,Água Rasa,87128
2020,Moóca,Água Rasa,87131
2021,Moóca,Água Rasa,86851
2022,Moóca,Água Rasa,86504
2023,Moóca,Água Rasa,86297
2024,Moóca,Água Rasa,85993
2000,Pinheiros,Alto de Pinheiros,44513
2001,Pinheiros,Alto de Pinheiros,44408
2002,Pinheiros,Alto de Pinheiros,44282
2003,Pinheiros,Alto de Pinheiros,44117
2004,Pinheiros,Alto de Pinheiros,43969
2005,Pinheiros,Alto de Pinheiros,43839
2006,Pinheiros,Alto de Pinheiros,43698
2007,Pinheiros,Alto de Pinheiros,43546
2008,Pinheiros,Alto de Pinheiros,43375
2009,Pinheiros,Alto de Pinheiros,43218
2010,Pinheiros,Alto de Pinheiros,43128
2011,Pinheiros,Alto de Pinheiros,42798
2012,Pinheiros,Alto de Pinheiros,42457
2013,Pinheiros,Alto de Pinheiros,42138
2014,Pinheiros,Alto de Pinheiros,41820
2015,Pinheiros,Alto de Pinheiros,41493
2016,Pinheiros,Alto de Pinheiros,41081
2017,Pinheiros,Alto de Pinheiros,40652
2018,Pinheiros,Alto de Pinheiros,40224
2019,Pinheiros,Alto de Pinheiros,39787
2020,Pinheiros,Alto de Pinheiros,39295
2021,Pinheiros,Alto de Pinheiros,38676
2022,Pinheiros,Alto de Pinheiros,38068
2023,Pinheiros,Alto de Pinheiros,37532
2024,Pinheiros,Alto de Pinheiros,36987
2000,Perus,Anhanguera,38037
2001,Perus,Anhanguera,40747
2002,Perus,Anhanguera,43456
2003,Perus,Anhanguera,46162
2004,Perus,Anhanguera,48917
2005,Perus,Anhanguera,51736
2006,Perus,Anhanguera,54560
2007,Perus,Anhanguera,57375
2008,Perus,Anhanguera,60202
2009,Perus,Anhanguera,63056
2010,Perus,Anhanguera,65561
2011,Perus,Anhanguera,66423
2012,Perus,Anhanguera,67262
2013,Perus,Anhanguera,68072
2014,Perus,Anhanguera,68938
2015,Perus,Anhanguera,69830
2016,Perus,Anhanguera,70593
2017,Perus,Anhanguera,71363
2018,Perus,Anhanguera,72159
2019,Perus,Anhanguera,72973
2020,Perus,Anhanguera,73658
2021,Perus,Anhanguera,74140
2022,Perus,Anhanguera,74860
2023,Perus,Anhanguera,75428
2024,Perus,Anhanguera,75967
2000,Aricanduva/Formosa/Carrão,Aricanduva,94845
2001,Aricanduva/Formosa/Carrão,Aricanduva,94516
2002,Aricanduva/Formosa/Carrão,Aricanduva,94090
2003,Aricanduva/Formosa/Carrão,Aricanduva,93631
2004,Aricanduva/Formosa/Carrão,Aricanduva,93108
2005,Aricanduva/Formosa/Carrão,Aricanduva,92545
2006,Aricanduva/Formosa/Carrão,Aricanduva,91988
2007,Aricanduva/Formosa/Carrão,Aricanduva,91382
2008,Aricanduva/Formosa/Carrão,Aricanduva,90748
2009,Aricanduva/Formosa/Carrão,Aricanduva,90118
2010,Aricanduva/Formosa/Carrão,Aricanduva,89664
2011,Aricanduva/Formosa/Carrão,Aricanduva,89862
2012,Aricanduva/Formosa/Carrão,Aricanduva,90076
2013,Aricanduva/Formosa/Carrão,Aricanduva,90246
2014,Aricanduva/Formosa/Carrão,Aricanduva,90370
2015,Aricanduva/Formosa/Carrão,Aricanduva,90552
2016,Aricanduva/Formosa/Carrão,Aricanduva,90678
2017,Aricanduva/Formosa/Carrão,Aricanduva,90774
2018,Aricanduva/Formosa/Carrão,Aricanduva,90870
2019,Aricanduva/Formosa/Carrão,Aricanduva,90906
2020,Aricanduva/Formosa/Carrão,Aricanduva,90822
2021,Aricanduva/Formosa/Carrão,Aricanduva,90497
2022,Aricanduva/Formosa/Carrão,Aricanduva,89998
2023,Aricanduva/Formosa/Carrão,Aricanduva,89773
2024,Aricanduva/Formosa/Carrão,Aricanduva,89499
2000,Penha,Artur Alvim,111294
2001,Penha,Artur Alvim,111052
2002,Penha,Artur Alvim,110617
2003,Penha,Artur Alvim,110092
2004,Penha,Artur Alvim,109499
2005,Penha,Artur Alvim,108867
2006,Penha,Artur Alvim,108139
2007,Penha,Artur Alvim,107392
2008,Penha,Artur Alvim,106648
2009,Penha,Artur Alvim,105867
2010,Penha,Artur Alvim,105317
2011,Penha,Artur Alvim,104730
2012,Penha,Artur Alvim,104179
2013,Penha,Artur Alvim,103643
2014,Penha,Artur Alvim,103072
2015,Penha,Artur Alvim,102465
2016,Penha,Artur Alvim,101713
2017,Penha,Artur Alvim,100951
2018,Penha,Artur Alvim,100242
2019,Penha,Artur Alvim,99514
2020,Penha,Artur Alvim,98592
2021,Penha,Artur Alvim,97306
2022,Penha,Artur Alvim,95947
2023,Penha,Artur Alvim,94840
2024,Penha,Artur Alvim,93634
2000,Lapa,Barra Funda,12992
2001,Lapa,Barra Funda,13136
2002,Lapa,Barra Funda,13265
2003,Lapa,Barra Funda,13361
2004,Lapa,Barra Funda,13457
2005,Lapa,Barra Funda,13599
2006,Lapa,Barra Funda,13754
2007,Lapa,Barra Funda,13905
2008,Lapa,Barra Funda,14070
2009,Lapa,Barra Funda,14231
2010,Lapa,Barra Funda,14371
2011,Lapa,Barra Funda,15861
2012,Lapa,Barra Funda,17372
2013,Lapa,Barra Funda,18904
2014,Lapa,Barra Funda,20502
2015,Lapa,Barra Funda,22134
2016,Lapa,Barra Funda,23775
2017,Lapa,Barra Funda,25404
2018,Lapa,Barra Funda,27062
2019,Lapa,Barra Funda,28732
